Id,Code,Color,EUNIS1,EUNIS2,EUNIS3,EUNIS1_name,EUNIS2_name,EUNIS3_name,hexcolor,Label
51,3000,"(2, 140, 140)",P,,,Inland water,,,#028c8c,P - Inland water
52,3100,"(2, 140, 140)",P,P1,,Inland water,Standing aquatic habitats,,#028c8c,P1 - Standing aquatic habitats
53,3200,"(2, 140, 140)",P,P2,,Inland water,Running aquatic habitats,,#028c8c,P2 - Running aquatic habitats
54,3300,"(2, 140, 140)",P,P3,,Inland water,Freshwater vegetation,,#028c8c,P3 - Freshwater vegetation
55,3301,"(2, 140, 140)",P,P3,P3a,Inland water,Freshwater vegetation,Base-poor spring and spring brook,#028c8c,P3a - Base-poor spring and spring brook
56,3302,"(2, 140, 140)",P,P3,P3b,Inland water,Freshwater vegetation,Calcareous spring and spring brook,#028c8c,P3b - Calcareous spring and spring brook
57,3303,"(2, 140, 140)",P,P3,P3c,Inland water,Freshwater vegetation,Brackish-water vegetation,#028c8c,P3c - Brackish-water vegetation
58,3304,"(2, 140, 140)",P,P3,P3d,Inland water,Freshwater vegetation,Fresh-water small pleustophyte vegetation,#028c8c,P3d - Fresh-water small pleustophyte vegetation
59,3305,"(2, 140, 140)",P,P3,P3e,Inland water,Freshwater vegetation,Fresh-water large pleustophyte vegetation,#028c8c,P3e - Fresh-water large pleustophyte vegetation
60,3306,"(2, 140, 140)",P,P3,P3f,Inland water,Freshwater vegetation,Fresh-water submerged vegetation,#028c8c,P3f - Fresh-water submerged vegetation
61,3307,"(2, 140, 140)",P,P3,P3g,Inland water,Freshwater vegetation,Fresh-water nymphaeid vegetation,#028c8c,P3g - Fresh-water nymphaeid vegetation
62,3308,"(2, 140, 140)",P,P3,P3h,Inland water,Freshwater vegetation,Oligotrophic-water vegetation,#028c8c,P3h - Oligotrophic-water vegetation
63,3309,"(2, 140, 140)",P,P3,P3i,Inland water,Freshwater vegetation,Dystrophic-water vegetation,#028c8c,P3i - Dystrophic-water vegetation
64,3310,"(2, 140, 140)",P,P3,P3j,Inland water,Freshwater vegetation,Stonewort vegetation,#028c8c,P3j - Stonewort vegetation
65,4000,"(29, 216, 160)",Q,,,Wetlands,,,#1dd8a0,Q - Wetlands
66,4100,"(29, 216, 160)",Q,Q1,,Wetlands,Raised and blanket bogs ,,#1dd8a0,Q1 - Raised and blanket bogs 
67,4101,"(29, 216, 160)",Q,Q1,Q11,Wetlands,Raised and blanket bogs ,Raised bog,#1dd8a0,Q11 - Raised bog
68,4102,"(29, 216, 160)",Q,Q1,Q12,Wetlands,Raised and blanket bogs ,Blanket bog,#1dd8a0,Q12 - Blanket bog
69,4200,"(24, 181, 116)",Q,Q2,,Wetlands,"Valley mires, poor fens and transition mires ",,#18b574,"Q2 - Valley mires, poor fens and transition mires "
70,4201,"(24, 181, 116)",Q,Q2,Q21,Wetlands,"Valley mires, poor fens and transition mires ",Oceanic valley mire,#18b574,Q21 - Oceanic valley mire
71,4202,"(24, 181, 116)",Q,Q2,Q22,Wetlands,"Valley mires, poor fens and transition mires ",Poor fen,#18b574,Q22 - Poor fen
72,4203,"(24, 181, 116)",Q,Q2,Q23,Wetlands,"Valley mires, poor fens and transition mires ",Relict mire of Mediterranean mountains ,#18b574,Q23 - Relict mire of Mediterranean mountains 
73,4204,"(24, 181, 116)",Q,Q2,Q24,Wetlands,"Valley mires, poor fens and transition mires ",Intermediate fen and soft-water spring mire,#18b574,Q24 - Intermediate fen and soft-water spring mire
74,4205,"(24, 181, 116)",Q,Q2,Q25,Wetlands,"Valley mires, poor fens and transition mires ",Non-calcareous quaking mire,#18b574,Q25 - Non-calcareous quaking mire
75,4300,"(23, 180, 110)",Q,Q3,,Wetlands,Palsa and polygon mires,,#17b46e,Q3 - Palsa and polygon mires
76,4400,"(22, 103, 55)",Q,Q4,,Wetlands,Base-rich fens and calcareous spring mires,,#166737,Q4 - Base-rich fens and calcareous spring mires
77,4401,"(22, 103, 55)",Q,Q4,Q41,Wetlands,Base-rich fens and calcareous spring mires,"Alkaline, calcareous, carbonate-rich small-sedge spring fen",#166737,"Q41 - Alkaline, calcareous, carbonate-rich small-sedge spring fen"
78,4402,"(22, 103, 55)",Q,Q4,Q42,Wetlands,Base-rich fens and calcareous spring mires,Extremely rich moss-sedge fen,#166737,Q42 - Extremely rich moss-sedge fen
79,4403,"(22, 103, 55)",Q,Q4,Q43,Wetlands,Base-rich fens and calcareous spring mires,Tall-sedge base-rich fen,#166737,Q43 - Tall-sedge base-rich fen
80,4404,"(22, 103, 55)",Q,Q4,Q44,Wetlands,Base-rich fens and calcareous spring mires,Calcareous quaking mire,#166737,Q44 - Calcareous quaking mire
81,4405,"(22, 103, 55)",Q,Q4,Q45,Wetlands,Base-rich fens and calcareous spring mires,Arctic-alpine rich fen,#166737,Q45 - Arctic-alpine rich fen
82,4406,"(22, 103, 55)",Q,Q4,Q46,Wetlands,Base-rich fens and calcareous spring mires,Carpathian travertine fen with halophytes,#166737,Q46 - Carpathian travertine fen with halophytes
83,4500,"(25, 61, 40)",Q,Q5,,Wetlands,Helophyte beds,,#193d28,Q5 - Helophyte beds
84,4501,"(25, 61, 40)",Q,Q5,Q51,Wetlands,Helophyte beds,Tall-helophyte bed,#193d28,Q51 - Tall-helophyte bed
85,4502,"(25, 61, 40)",Q,Q5,Q52,Wetlands,Helophyte beds,Small-helophyte bed,#193d28,Q52 - Small-helophyte bed
86,4503,"(25, 61, 40)",Q,Q5,Q53,Wetlands,Helophyte beds,Tall-sedge bed,#193d28,Q53 - Tall-sedge bed
87,4504,"(25, 61, 40)",Q,Q5,Q54,Wetlands,Helophyte beds,Inland saline or brackish helophyte bed,#193d28,Q54 - Inland saline or brackish helophyte bed
88,4600,"(49, 80, 65)",Q,Q6,,Wetlands,Periodically exposed shores,,#315041,Q6 - Periodically exposed shores
89,4601,"(49, 80, 65)",Q,Q6,Q61,Wetlands,Periodically exposed shores,"Periodically exposed shore with stable, eutrophic sediments with pioneer or ephemeral vegetation",#315041,"Q61 - Periodically exposed shore with stable, eutrophic sediments with pioneer or ephemeral vegetation"
90,4602,"(49, 80, 65)",Q,Q6,Q62,Wetlands,Periodically exposed shores,"Periodically exposed shore with stable, mesotrophic sediments with pioneer or ephemeral vegetation",#315041,"Q62 - Periodically exposed shore with stable, mesotrophic sediments with pioneer or ephemeral vegetation"
91,4603,"(49, 80, 65)",Q,Q6,Q63,Wetlands,Periodically exposed shores,Periodically exposed saline shore with pioneer or ephemeral vegetation,#315041,Q63 - Periodically exposed saline shore with pioneer or ephemeral vegetation
92,5000,"(211, 188, 38)",R,,,"Grasslands and lands dominated by forbs, mosses or lichens",,,#d3bc26,"R - Grasslands and lands dominated by forbs, mosses or lichens"
93,5100,"(211, 188, 38)",R,R1,,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,,#d3bc26,R1 - Dry grasslands
94,5101,"(211, 188, 38)",R,R1,R11,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Pannonian and Pontic sandy steppe,#d3bc26,R11 - Pannonian and Pontic sandy steppe
95,5102,"(211, 188, 38)",R,R1,R12,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Cryptogam- and annual-dominated vegetation on siliceous rock outcrops,#d3bc26,R12 - Cryptogam- and annual-dominated vegetation on siliceous rock outcrops
96,5103,"(211, 188, 38)",R,R1,R13,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Cryptogam- and annual-dominated vegetation on calcareous and ultramafic rock outcrops,#d3bc26,R13 - Cryptogam- and annual-dominated vegetation on calcareous and ultramafic rock outcrops
97,5104,"(211, 188, 38)",R,R1,R14,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Perennial rocky grassland of the Italian Peninsula ,#d3bc26,R14 - Perennial rocky grassland of the Italian Peninsula 
98,5105,"(211, 188, 38)",R,R1,R15,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Continental dry rocky steppic grassland and dwarf scrub on chalk outcrops,#d3bc26,R15 - Continental dry rocky steppic grassland and dwarf scrub on chalk outcrops
99,5106,"(211, 188, 38)",R,R1,R16,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Perennial rocky grassland of Central and South-Eastern Europe,#d3bc26,R16 - Perennial rocky grassland of Central and South-Eastern Europe
100,5107,"(211, 188, 38)",R,R1,R17,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Heavy-metal dry grassland of the Balkans,#d3bc26,R17 - Heavy-metal dry grassland of the Balkans
101,5108,"(211, 188, 38)",R,R1,R18,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe,#d3bc26,R18 - Perennial rocky calcareous grassland of subatlantic-submediterranean Europe
102,5109,"(211, 188, 38)",R,R1,R19,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Dry steppic submediterranean pasture of the Amphi-Adriatic region,#d3bc26,R19 - Dry steppic submediterranean pasture of the Amphi-Adriatic region
103,5110,"(211, 188, 38)",R,R1,R1A,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Semi-dry perennial calcareous grassland (meadow steppe),#d3bc26,R1A - Semi-dry perennial calcareous grassland (meadow steppe)
104,5111,"(211, 188, 38)",R,R1,R1B,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Continental dry grassland (true steppe),#d3bc26,R1B - Continental dry grassland (true steppe)
105,5112,"(211, 188, 38)",R,R1,R1C,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Desert steppe,#d3bc26,R1C - Desert steppe
106,5113,"(211, 188, 38)",R,R1,R1D,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Mediterranean closely grazed dry grassland,#d3bc26,R1D - Mediterranean closely grazed dry grassland
107,5114,"(211, 188, 38)",R,R1,R1E,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Mediterranean tall perennial dry grassland,#d3bc26,R1E - Mediterranean tall perennial dry grassland
108,5115,"(211, 188, 38)",R,R1,R1F,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Mediterranean annual-rich dry grassland,#d3bc26,R1F - Mediterranean annual-rich dry grassland
109,5116,"(211, 188, 38)",R,R1,R1G,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Iberian oromediterranean siliceous dry grassland,#d3bc26,R1G - Iberian oromediterranean siliceous dry grassland
110,5117,"(211, 188, 38)",R,R1,R1H,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Iberian oromediterranean basiphilous dry grassland,#d3bc26,R1H - Iberian oromediterranean basiphilous dry grassland
111,5119,"(211, 188, 38)",R,R1,R1J,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Cyrno-Sardean oromediterranean siliceous dry grassland,#d3bc26,R1J - Cyrno-Sardean oromediterranean siliceous dry grassland
112,5120,"(211, 188, 38)",R,R1,R1K,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Balkan and Anatolian oromediterranean dry grassland,#d3bc26,R1K - Balkan and Anatolian oromediterranean dry grassland
113,5121,"(211, 188, 38)",R,R1,R1L,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Madeiran oromediterranean siliceous dry grassland,#d3bc26,R1L - Madeiran oromediterranean siliceous dry grassland
114,5122,"(211, 188, 38)",R,R1,R1M,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,"Lowland to montane, dry to mesic grassland usually dominated by Nardus stricta",#d3bc26,"R1M - Lowland to montane, dry to mesic grassland usually dominated by Nardus stricta"
115,5123,"(211, 188, 38)",R,R1,R1N,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Open Iberian supramediterranean dry acid and neutral grassland ,#d3bc26,R1N - Open Iberian supramediterranean dry acid and neutral grassland 
116,5125,"(211, 188, 38)",R,R1,R1P,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Oceanic to subcontinental inland sand grassland on dry acid and neutral soils,#d3bc26,R1P - Oceanic to subcontinental inland sand grassland on dry acid and neutral soils
117,5126,"(211, 188, 38)",R,R1,R1Q,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Inland sanddrift and dune with siliceous grassland,#d3bc26,R1Q - Inland sanddrift and dune with siliceous grassland
118,5127,"(211, 188, 38)",R,R1,R1R,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,"Mediterranean to Atlantic open, dry, acid and neutral grassland ",#d3bc26,"R1R - Mediterranean to Atlantic open, dry, acid and neutral grassland "
119,5128,"(211, 188, 38)",R,R1,R1S,"Grasslands and lands dominated by forbs, mosses or lichens",Dry grasslands,Heavy-metal grassland in Western and Central Europe ,#d3bc26,R1S - Heavy-metal grassland in Western and Central Europe 
120,5200,"(184, 212, 26)",R,R2,,"Grasslands and lands dominated by forbs, mosses or lichens",Mesic grasslands,,#b8d41a,R2 - Mesic grasslands
121,5201,"(184, 212, 26)",R,R2,R21,"Grasslands and lands dominated by forbs, mosses or lichens",Mesic grasslands,Mesic permanent pasture of lowlands and mountains,#b8d41a,R21 - Mesic permanent pasture of lowlands and mountains
122,5202,"(184, 212, 26)",R,R2,R22,"Grasslands and lands dominated by forbs, mosses or lichens",Mesic grasslands,Low and medium altitude hay meadow,#b8d41a,R22 - Low and medium altitude hay meadow
123,5203,"(184, 212, 26)",R,R2,R23,"Grasslands and lands dominated by forbs, mosses or lichens",Mesic grasslands,Mountain hay meadow,#b8d41a,R23 - Mountain hay meadow
124,5204,"(184, 212, 26)",R,R2,R24,"Grasslands and lands dominated by forbs, mosses or lichens",Mesic grasslands,Iberian summer pasture (vallicar),#b8d41a,R24 - Iberian summer pasture (vallicar)
125,5300,"(161, 220, 26)",R,R3,,"Grasslands and lands dominated by forbs, mosses or lichens",Seasonally wet and wet grasslands,,#a1dc1a,R3 - Seasonally wet and wet grasslands
126,5301,"(161, 220, 26)",R,R3,R31,"Grasslands and lands dominated by forbs, mosses or lichens",Seasonally wet and wet grasslands,Mediterranean tall humid inland grassland,#a1dc1a,R31 - Mediterranean tall humid inland grassland
127,5302,"(161, 220, 26)",R,R3,R32,"Grasslands and lands dominated by forbs, mosses or lichens",Seasonally wet and wet grasslands,Mediterranean short moist grassland of lowlands,#a1dc1a,R32 - Mediterranean short moist grassland of lowlands
128,5303,"(161, 220, 26)",R,R3,R33,"Grasslands and lands dominated by forbs, mosses or lichens",Seasonally wet and wet grasslands,Mediterranean short moist grassland of mountains,#a1dc1a,R33 - Mediterranean short moist grassland of mountains
129,5304,"(161, 220, 26)",R,R3,R34,"Grasslands and lands dominated by forbs, mosses or lichens",Seasonally wet and wet grasslands,Submediterranean moist meadow,#a1dc1a,R34 - Submediterranean moist meadow
130,5305,"(161, 220, 26)",R,R3,R35,"Grasslands and lands dominated by forbs, mosses or lichens",Seasonally wet and wet grasslands,Moist or wet mesotrophic to eutrophic hay meadow,#a1dc1a,R35 - Moist or wet mesotrophic to eutrophic hay meadow
131,5306,"(161, 220, 26)",R,R3,R36,"Grasslands and lands dominated by forbs, mosses or lichens",Seasonally wet and wet grasslands,Moist or wet mesotrophic to eutrophic pasture,#a1dc1a,R36 - Moist or wet mesotrophic to eutrophic pasture
132,5307,"(161, 220, 26)",R,R3,R37,"Grasslands and lands dominated by forbs, mosses or lichens",Seasonally wet and wet grasslands,Temperate and boreal moist or wet oligotrophic grassland,#a1dc1a,R37 - Temperate and boreal moist or wet oligotrophic grassland
133,5400,"(142, 211, 38)",R,R4,,"Grasslands and lands dominated by forbs, mosses or lichens",Alpine and subalpine grasslands,,#8ed326,R4 - Alpine and subalpine grasslands
134,5401,"(142, 211, 38)",R,R4,R41,"Grasslands and lands dominated by forbs, mosses or lichens",Alpine and subalpine grasslands,Snow-bed vegetation,#8ed326,R41 - Snow-bed vegetation
135,5402,"(142, 211, 38)",R,R4,R42,"Grasslands and lands dominated by forbs, mosses or lichens",Alpine and subalpine grasslands,Boreal and Arctic acidophilous alpine grassland ,#8ed326,R42 - Boreal and Arctic acidophilous alpine grassland 
136,5403,"(142, 211, 38)",R,R4,R43,"Grasslands and lands dominated by forbs, mosses or lichens",Alpine and subalpine grasslands,Temperate acidophilous alpine grassland ,#8ed326,R43 - Temperate acidophilous alpine grassland 
137,5404,"(142, 211, 38)",R,R4,R44,"Grasslands and lands dominated by forbs, mosses or lichens",Alpine and subalpine grasslands,Arctic-alpine calcareous grassland,#8ed326,R44 - Arctic-alpine calcareous grassland
138,5405,"(142, 211, 38)",R,R4,R45,"Grasslands and lands dominated by forbs, mosses or lichens",Alpine and subalpine grasslands,Alpine and subalpine calcareous grassland of the Balkans and Apennines,#8ed326,R45 - Alpine and subalpine calcareous grassland of the Balkans and Apennines
139,5500,"(144, 228, 17)",R,R5,,"Grasslands and lands dominated by forbs, mosses or lichens",Woodland fringes and clearings and tall forb stands,,#90e411,R5 - Woodland fringes and clearings and tall forb stands
140,5501,"(144, 228, 17)",R,R5,R51,"Grasslands and lands dominated by forbs, mosses or lichens",Woodland fringes and clearings and tall forb stands,Thermophilous forest fringe of base-rich soils,#90e411,R51 - Thermophilous forest fringe of base-rich soils
141,5502,"(144, 228, 17)",R,R5,R52,"Grasslands and lands dominated by forbs, mosses or lichens",Woodland fringes and clearings and tall forb stands,Forest fringe of acidic nutrient-poor soils,#90e411,R52 - Forest fringe of acidic nutrient-poor soils
142,5503,"(144, 228, 17)",R,R5,R53,"Grasslands and lands dominated by forbs, mosses or lichens",Woodland fringes and clearings and tall forb stands,Macaronesian thermophilous forest fringe,#90e411,R53 - Macaronesian thermophilous forest fringe
143,5504,"(144, 228, 17)",R,R5,R54,"Grasslands and lands dominated by forbs, mosses or lichens",Woodland fringes and clearings and tall forb stands,Pteridium aquilinum vegetation,#90e411,R54 - Pteridium aquilinum vegetation
144,5505,"(144, 228, 17)",R,R5,R55,"Grasslands and lands dominated by forbs, mosses or lichens",Woodland fringes and clearings and tall forb stands,Lowland moist or wet tall-herb and fern fringe,#90e411,R55 - Lowland moist or wet tall-herb and fern fringe
145,5506,"(144, 228, 17)",R,R5,R56,"Grasslands and lands dominated by forbs, mosses or lichens",Woodland fringes and clearings and tall forb stands,Montane to subalpine moist or wet tall-herb and fern fringe,#90e411,R56 - Montane to subalpine moist or wet tall-herb and fern fringe
